
Logging initialized using configuration in jar:file:/home/ubuntu/software/hive-1.2.1/lib/hive-common-1.2.1.jar!/hive-log4j.properties
Hive history file=/tmp/ubuntu/hive_job_log_47cf1608-0fa7-49d0-9f27-9fdd5e5d60e6_1464464134.txt
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/home/ubuntu/software/tez-0.7.1-SNAPSHOT-minimal/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/home/ubuntu/software/hadoop-2.6.0/share/hadoop/common/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
OK
Time taken: 1.097 seconds
Query ID = ubuntu_20161002173201_3c4e6d40-7dae-4431-a224-5d6f35c2df6a
Total jobs = 10
Stage-1 is selected by condition resolver.
Launching Job 1 out of 10
Number of reduce tasks not specified. Defaulting to jobconf value of: 20
In order to change the average load for a reducer (in bytes):
  set hive.exec.reducers.bytes.per.reducer=<number>
In order to limit the maximum number of reducers:
  set hive.exec.reducers.max=<number>
In order to set a constant number of reducers:
  set mapreduce.job.reduces=<number>
Starting Job = job_1475426732253_0047, Tracking URL = http://vm1:8088/proxy/application_1475426732253_0047/
Kill Command = /home/ubuntu/software/hadoop-2.6.0/bin/hadoop job  -kill job_1475426732253_0047
Hadoop job information for Stage-1: number of mappers: 82; number of reducers: 20
2016-10-02 17:32:13,514 Stage-1 map = 0%,  reduce = 0%
2016-10-02 17:32:26,296 Stage-1 map = 1%,  reduce = 0%, Cumulative CPU 53.31 sec
2016-10-02 17:32:29,413 Stage-1 map = 3%,  reduce = 0%, Cumulative CPU 88.11 sec
2016-10-02 17:32:32,550 Stage-1 map = 7%,  reduce = 0%, Cumulative CPU 107.66 sec
2016-10-02 17:32:37,742 Stage-1 map = 8%,  reduce = 0%, Cumulative CPU 128.4 sec
2016-10-02 17:32:38,787 Stage-1 map = 12%,  reduce = 0%, Cumulative CPU 146.17 sec
2016-10-02 17:32:40,910 Stage-1 map = 13%,  reduce = 0%, Cumulative CPU 157.47 sec
2016-10-02 17:32:41,953 Stage-1 map = 16%,  reduce = 0%, Cumulative CPU 198.1 sec
2016-10-02 17:32:42,992 Stage-1 map = 18%,  reduce = 0%, Cumulative CPU 202.39 sec
2016-10-02 17:32:44,062 Stage-1 map = 19%,  reduce = 0%, Cumulative CPU 210.09 sec
2016-10-02 17:32:45,123 Stage-1 map = 20%,  reduce = 0%, Cumulative CPU 214.29 sec
2016-10-02 17:32:55,643 Stage-1 map = 22%,  reduce = 0%, Cumulative CPU 286.4 sec
2016-10-02 17:32:56,700 Stage-1 map = 24%,  reduce = 0%, Cumulative CPU 300.53 sec
2016-10-02 17:32:59,811 Stage-1 map = 25%,  reduce = 0%, Cumulative CPU 322.11 sec
2016-10-02 17:33:00,842 Stage-1 map = 26%,  reduce = 0%, Cumulative CPU 328.79 sec
2016-10-02 17:33:03,933 Stage-1 map = 28%,  reduce = 0%, Cumulative CPU 351.91 sec
2016-10-02 17:33:04,968 Stage-1 map = 29%,  reduce = 0%, Cumulative CPU 358.69 sec
2016-10-02 17:33:06,030 Stage-1 map = 31%,  reduce = 0%, Cumulative CPU 367.17 sec
2016-10-02 17:33:07,104 Stage-1 map = 32%,  reduce = 0%, Cumulative CPU 374.91 sec
2016-10-02 17:33:08,163 Stage-1 map = 34%,  reduce = 0%, Cumulative CPU 389.01 sec
2016-10-02 17:33:09,294 Stage-1 map = 35%,  reduce = 0%, Cumulative CPU 396.92 sec
2016-10-02 17:33:10,339 Stage-1 map = 36%,  reduce = 0%, Cumulative CPU 401.42 sec
2016-10-02 17:33:11,400 Stage-1 map = 37%,  reduce = 0%, Cumulative CPU 409.78 sec
2016-10-02 17:33:12,467 Stage-1 map = 38%,  reduce = 0%, Cumulative CPU 419.09 sec
2016-10-02 17:33:13,504 Stage-1 map = 39%,  reduce = 0%, Cumulative CPU 426.11 sec
2016-10-02 17:33:18,784 Stage-1 map = 39%,  reduce = 1%, Cumulative CPU 449.05 sec
2016-10-02 17:33:19,826 Stage-1 map = 40%,  reduce = 1%, Cumulative CPU 455.6 sec
2016-10-02 17:33:21,909 Stage-1 map = 40%,  reduce = 2%, Cumulative CPU 465.35 sec
2016-10-02 17:33:22,960 Stage-1 map = 41%,  reduce = 3%, Cumulative CPU 471.5 sec
2016-10-02 17:33:23,993 Stage-1 map = 42%,  reduce = 4%, Cumulative CPU 480.12 sec
2016-10-02 17:33:25,028 Stage-1 map = 43%,  reduce = 4%, Cumulative CPU 489.02 sec
2016-10-02 17:33:27,151 Stage-1 map = 44%,  reduce = 4%, Cumulative CPU 507.47 sec
2016-10-02 17:33:29,247 Stage-1 map = 47%,  reduce = 4%, Cumulative CPU 526.15 sec
2016-10-02 17:33:30,294 Stage-1 map = 48%,  reduce = 4%, Cumulative CPU 529.06 sec
2016-10-02 17:33:31,341 Stage-1 map = 49%,  reduce = 4%, Cumulative CPU 536.57 sec
2016-10-02 17:33:33,417 Stage-1 map = 50%,  reduce = 4%, Cumulative CPU 547.75 sec
2016-10-02 17:33:34,449 Stage-1 map = 50%,  reduce = 5%, Cumulative CPU 548.22 sec
2016-10-02 17:33:35,507 Stage-1 map = 51%,  reduce = 5%, Cumulative CPU 560.21 sec
2016-10-02 17:33:37,587 Stage-1 map = 52%,  reduce = 5%, Cumulative CPU 564.08 sec
2016-10-02 17:33:39,642 Stage-1 map = 53%,  reduce = 5%, Cumulative CPU 580.33 sec
2016-10-02 17:33:40,672 Stage-1 map = 54%,  reduce = 5%, Cumulative CPU 593.36 sec
2016-10-02 17:33:42,732 Stage-1 map = 55%,  reduce = 5%, Cumulative CPU 608.03 sec
2016-10-02 17:33:43,769 Stage-1 map = 57%,  reduce = 5%, Cumulative CPU 619.28 sec
